index,origin_id,origin_date,split,status,ended_with_eos,prompt_sha256,inflation_pressure_score,inflation_pressure_evidence,demand_pressure_score,demand_pressure_evidence,forward_policy_bias_score,forward_policy_bias_evidence
12,decision_close_2016_1,2016-01-19,train,valid,True,6a1ce6ee21107c37c8cd17e80d47994138a1393cc9c08d293d56873841a2451d,0,,0,,0,
13,decision_close_2016_2,2016-02-23,train,valid,True,df449ef5858f3a5456583c1dff05b5385ba53005c8b109285282040bdd4fff58,0,,0,,0,
14,decision_close_2016_3,2016-03-24,train,valid,True,9373f0d19e5d963c7e45c8876e8077d7b8548190c5081082e65732c5853fd626,0,,0,,-1,"Bu doğrultuda Kurul, sadeleşme yönünde ölçülü bir adım atılmasına karar vermiştir."
15,decision_close_2016_4,2016-04-20,train,valid,True,f6b3a82474f5bd0a10e7fdfc1c0295b5462c78eed61fe5114c020ff641e14b23,-1,Enflasyon yakın dönemde belirgin bir düşüş sergilemiştir.,0,,-1,"Bu doğrultuda Kurul, sadeleşme yönünde ölçülü bir adım atılmasına karar vermiştir."
16,decision_close_2016_5,2016-05-24,train,valid,True,b1d7ebab4a27f3ac2fee55447acb1a56c69192fb7ca472cf66f4ff5603b66aa2,-1,"Son dönemde enflasyonda, temelde işlenmemiş gıda fiyatları kaynaklı olarak, belirgin bir düşüş gözlenmektedir.",0,,-1,"Bu doğrultuda Kurul, sadeleşme yönünde ölçülü bir adım atılmasına karar vermiştir."
17,decision_close_2016_6,2016-06-21,train,valid,True,3279862162e9f3b1802ed933404036f3f201504d24f798e6aba1a8f9917b1a79,-1,Son aylarda işlenmemiş gıda fiyatlarının olumlu seyri ve çekirdek enflasyon eğilimindeki iyileşmeye bağlı olarak enflasyonda belirgin bir düşüş gözlenmiştir.,0,,-1,"Bu doğrultuda Kurul, sadeleşme yönünde ölçülü bir adım atılmasına karar vermiştir."
18,decision_close_2016_7,2016-07-19,train,invalid_output,True,332a821a33d6da9fe9a71ad17bd7ba23339c09b7dd4cf9815d9f43c8945a2f53,1,"Kurul, işlenmemiş gıda ve tütün fiyatlarındaki gelişmelere bağlı olarak kısa vadede enflasyonda belirgin bir artış gözlenebileceğine dikkat çekmiştir.",0,,-1,"Kurul, sadeleşme yönünde ölçülü ve temkinli bir adım atılmasına karar vermiştir."
19,decision_close_2016_8,2016-08-23,train,invalid_output,True,eeff5e7d2bbd1420819ca9187274c92353795712540f37184652d9b9ffe93a00,0,,0,,-1,"Kurul, sadeleşme yönünde ölçülü ve temkinli bir adım atılmasına karar vermiştir."
20,decision_close_2016_9,2016-09-22,train,valid,True,26d9e897b583ede9d59db9659c78bf6c2c3894f9b0de550cfdb96ffa3c7f8478,0,,0,,0,
21,decision_close_2016_10,2016-10-20,train,valid,True,2a3d659169789b156982ca064428fba6612b82fb8aba9ec6183d9d04f8b0e532,0,,0,,0,
22,decision_close_2016_11,2016-11-24,train,valid,True,be6e2295cfb272ffaa3826ed042beb01ca3f80375d3b9b32bc9dcf682e8ea5c1,-1,Toplam talepteki yavaşlama enflasyondaki düşüşü desteklemektedir.,0,,0,"Kurul, söz konusu gelişmelerin beklentiler ve fiyatlama davranışları üzerindeki olumsuz etkisini sınırlamak amacıyla parasal sıkılaştırma yapılmasına karar vermiştir."
23,decision_close_2016_12,2016-12-20,train,valid,True,fc4b069d348f76a00d98d2726983b90e207b4441248a9747beedd8f2361aa192,0,,0,,0,
24,decision_close_2017_1,2017-01-24,train,valid,True,70055c96399e0ac1a30377224938e750cfa67c559006c0e8a0b38687eaa9f4d1,1,"Bu çerçevede Kurul, enflasyon görünümündeki bozulmayı sınırlamak amacıyla parasal sıkılaştırmanın güçlendirilmesine karar vermiştir.",-1,İç talep göreli olarak daha zayıf seyrederken Avrupa Birliği ülkelerinin talebindeki artışın ihracat üzerindeki olumlu etkisi sürmektedir.,0,
25,decision_close_2017_2,2017-03-16,train,valid,True,ff5c7ea2a5f121536ab6125749815046ec1532bcb7351de09cb19ef0dd7be56f,1,Son aylarda yaşanan maliyet yönlü gelişmeler ve gıda fiyatlarındaki oynaklık enflasyonun hızlı bir yükseliş göstermesine neden olmuştur.,-1,İç talep göreli olarak daha zayıf seyrederken Avrupa Birliği ülkelerinin talebindeki artışın ihracat üzerindeki olumlu etkisi sürmektedir.,0,
26,decision_close_2017_3,2017-04-26,train,valid,True,4eb52bdf3c4bd20789d554d94e6bf2fdea2993f6239e1d1e6b1471885f618042,1,Son aylarda yaşanan maliyet yönlü gelişmeler ve gıda fiyatlarındaki oynaklık enflasyonun hızlı bir yükseliş göstermesine neden olmuştur.,0,,-1,"Kurul, enflasyon görünümündeki bozulmayı sınırlamak amacıyla parasal sıkılaştırmanın güçlendirilmesine karar vermiştir."
27,decision_close_2017_4,2017-06-15,train,valid,True,f23919b371d2b1887a5c88a2e2b32847dab5292277118e9012da9c23ccdb5bf6,1,enflasyonun bulunduğu yüksek seviyeler fiyatlama davranışlarına dair risk oluşturmaktadır,0,,0,sıkı para politikası duruşunun korunmasına karar vermiştir
28,decision_close_2017_5,2017-07-27,train,valid,True,5851f6846166c76da6244e41b359f9da606fb8582b0a4891001a466a5aed0352,1,enflasyonun bulunduğu yüksek seviyeler fiyatlama davranışlarına dair risk oluşturmaktadır,0,,0,sıkı para politikası duruşunun korunmasına karar vermiştir
29,decision_close_2017_6,2017-09-14,train,valid,True,accf616c72fde120aba74a2f0ab213a27a8b03312fa8b45916d6522fa22ce3c9,1,Enflasyonun bulunduğu yüksek seviyeler ve çekirdek enflasyon göstergelerine ilişkin gelişmeler fiyatlama davranışlarına dair risk oluşturmaktadır.,0,,0,"Kurul, sıkı para politikası duruşunun korunmasına karar vermiştir."
30,decision_close_2017_7,2017-10-26,train,valid,True,a5f9b6f2a1de56a01a6181fa9359dc17ac64a7f7717f6ecd5a485321f854e36b,1,Enflasyonun bulunduğu yüksek seviyeler ve çekirdek enflasyon görünümüne ilişkin gelişmeler fiyatlama davranışlarına dair risk oluşturmaya devam etmektedir.,1,Son dönemde açıklanan veriler iktisadi faaliyetin güçlü seyrettiğine işaret etmektedir. İç talepteki iyileşme devam ederken Avrupa Birliği ülkelerinin talebindeki artışın ihracat üzerindeki olumlu etkisi sürmektedir.,0,
31,decision_close_2017_8,2017-12-14,train,valid,True,4d66640bf90cc3460ec471d6bfd1c3eff7e59f861b608e8e8fc91a88472c62c0,1,Enflasyonun bulunduğu yüksek seviyeler ve yakın dönemde yaşanan maliyet gelişmeleri beklentiler ve fiyatlama davranışlarına dair riskleri artırmıştır.,0,,0,"Kurul, parasal duruşun sıkılaştırılmasına karar vermiştir."
32,decision_close_2018_1,2018-01-18,train,valid,True,c30cae2c644739b63cc8e9ab093f5aa9678e54174158a906ae352d1afa0320df,1,Enflasyon ve enflasyon beklentilerinin bulunduğu yüksek seviyeler fiyatlama davranışları üzerinde risk oluşturmaya devam etmektedir.,0,,0,"Kurul, para politikasındaki sıkı duruşun korunmasına karar vermiştir."
33,decision_close_2018_2,2018-03-07,train,valid,True,5846d262ea39a8ba5b791ac5a1347f775de5c4772b8df134b51b4d34b9da0e21,1,Enflasyon ve enflasyon beklentilerinin bulunduğu yüksek seviyeler fiyatlama davranışları üzerinde risk oluşturmaya devam etmektedir.,0,,0,"Kurul, para politikasındaki sıkı duruşun korunmasına karar vermiştir."
34,decision_close_2018_3,2018-04-25,train,valid,True,11a07dcc2b24e49b75c3511953c89ee52a03e019748bcd5bc01f99c742b63a23,1,Enflasyon ve enflasyon beklentilerinin bulunduğu yüksek seviyeler fiyatlama davranışları üzerinde risk oluşturmaya devam etmektedir.,0,,-1,"Kurul, fiyat istikrarını desteklemek amacıyla ölçülü bir parasal sıkılaştırma yapılmasına karar vermiştir."
35,decision_close_2018_4,2018-05-23,train,valid,True,ec41f6d5be0b0c2dd52130dcadf89a0bdf43a53bcec3068787b76194352cbab0,1,Yakın dönemde piyasalarda gözlenen sağlıksız fiyat oluşumları ve enflasyon beklentilerinde süregelen yükseliş genel fiyatlama davranışlarına dair riskleri artırmıştır.,0,,1,"Kurul, fiyat istikrarını desteklemek amacıyla güçlü bir parasal sıkılaştırma yapılmasına karar vermiştir."
36,decision_close_2018_5,2018-06-07,train,invalid_output,True,bf42244e8d4ae7ff09fda0513e50e1217c303c800d756eb3b473014863d0d963,1,Enflasyondaki yükselişte temelde maliyet yönlü gelişmeler etkili olmaktadır.,-1,İç talep daha ılımlı seyretmektedir.,1,Para politikasındaki sıkı duruş kararlılıkla sürdürülecektir.
37,decision_close_2018_6,2018-07-24,train,invalid_output,True,ae95c1607dbebe0a77308cd49fccaf807fcd849114febb79987304b2d0337264,0,,-1,İç talebe dair yavaşlama sinyalleri artmaktadır.,0,Sıkı para politikasının uzun bir müddet korunmasının gerekebileceği değerlendirmesinde bulunmuştur.
38,decision_close_2018_7,2018-09-13,train,invalid_output,True,bf06fb0841326ec8d0eacb0ae48e92825776ebf37b97b20164183b32513660f1,1,Yakın dönemde enflasyon görünümüne ilişkin gelişmeler fiyat istikrarı açısından önemli risklere işaret etmiştir.,-1,İç talepteki yavaşlama hızlanmaktadır.,0,
39,decision_close_2018_8,2018-10-25,train,valid,True,09865c79d90cd573ab312c4b4fc84710e7e1af4bd102f1ca6e52806bc9b692a4,0,,-1,İç talep koşullarındaki zayıflamanın enflasyon görünümündeki bozulmayı kısmen sınırlayacağı düşünülse de fiyatlama davranışlarına dair yukarı yönlü riskler devam etmektedir.,0,"Kurul, sıkı parasal duruşun korunmasına karar vermiştir."
40,decision_close_2018_9,2018-12-13,train,valid,True,ca8d5a7049ff7075de6550b80ba9a6d4ae1ba692aa233cab31af84b327cfef3c,0,İthal girdi maliyetleri ve iç talep gelişmelerine bağlı olarak enflasyon görünümünde bir miktar iyileşme gözlenmekle birlikte fiyat istikrarına yönelik riskler devam etmektedir.,0,Dış talep gücünü korumakla birlikte finansal koşullardaki sıkılaşmanın da etkisiyle iktisadi faaliyetteki yavaşlama devam etmektedir.,0,
41,decision_close_2019_1,2019-01-16,train,valid,True,914143af65112da669a7971f6f5c01a7ed1c3b610d87ea2fa5668dff6c752d26,0,İthal girdi maliyetleri ve iç talep gelişmelerine bağlı olarak enflasyon görünümünde bir miktar iyileşme gözlenmekle birlikte fiyat istikrarına yönelik riskler devam etmektedir.,0,Dış talep gücünü korurken finansal koşullardaki sıkılığın da etkisiyle iktisadi faaliyetteki yavaşlama devam etmektedir.,0,"Kurul, enflasyon görünümünde belirgin bir iyileşme sağlanana kadar sıkı parasal duruşun korunmasına karar vermiştir."
42,decision_close_2019_2,2019-03-06,train,valid,True,685f4fef6318af1087ac0a53eb843d6be70446ff445590bfc33450e05e5ea9f6,0,,0,,0,
43,decision_close_2019_3,2019-04-25,train,valid,True,8e3f92ac8ac572c5a540ab4cb3433cffc40d540d77f3b213556dba13eb4d6a49,0,,0,,0,
44,decision_close_2019_4,2019-06-12,train,valid,True,fdc23a84bfa3ba577bb314ee424e1e0ffd58d9507e3cda5101927c35e53c65d7,-1,İç talep gelişmeleri ve parasal sıkılaştırmanın etkileri enflasyondaki düşüşü desteklemektedir.,0,,0,"Kurul, fiyatlama davranışlarına dair riskleri sınırlamak ve enflasyonun düşüş sürecini hızlandırmak amacıyla sıkı parasal duruşun korunmasına karar vermiştir."
45,decision_close_2019_5,2019-07-25,train,invalid_output,True,3a44b447bd4aa5e52b3124b38ab64e70d47c3541d3d610635d8a5985dc643585,1,Enflasyon görünümündeki iyileşme devam etmektedir. Yılın ikinci çeyreğinde enflasyon işlenmemiş gıda ve enerji fiyatlarındaki yavaşlamanın da katkısıyla belirgin bir düşüş sergilemiştir.,0,,-1,"Kurul, politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 24’ten yüzde 19,75’e indirilmesine karar vermiştir."
46,decision_close_2019_6,2019-09-12,train,valid,True,0861c9b2018121b2d3afbaf4be43379d152f6c64d820bbe598ca535600753aee,1,Enflasyon görünümündeki iyileşme devam etmektedir.,0,,-1,"politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 19,75’ten yüzde 16,50’ye indirilmesine karar vermiştir."
47,decision_close_2019_7,2019-10-24,train,invalid_output,True,dd69be52f0e1d88978cd5a56eb7989632ff95b5e0da0823ad15b85bfa671a7f2,1,Enflasyon görünümündeki iyileşme devam etmektedir.,-1,Yatırımlar zayıf seyrini sürdürmektedir.,0,
48,decision_close_2019_8,2019-12-12,train,invalid_output,True,fbea89f9e8e46d61083b937d5fc52e6f819dc48a76358badda40f4c8a47452c4,1,"Enflasyon görünümündeki iyileşme devam etmekte, enflasyon beklentilerinde genele yayılan bir düzelme gözlenmektedir.",-1,Yatırımlar zayıf seyrini sürdürmektedir.,-1,Politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 14’ten yüzde 12’ye indirilmesine karar vermiştir.
49,decision_close_2020_1,2020-01-16,train,invalid_output,True,0f1b163a34e31c2b78a1769a4ed3b505a8c2a59df59490375530c101dbc365ef,1,"Enflasyon görünümündeki iyileşme devam etmekte, enflasyon beklentilerindeki genele yayılan düzelme sürmektedir.",-1,Yatırımlar zayıf seyrini sürdürmektedir.,0,
50,decision_close_2020_2,2020-02-19,train,valid,True,7830175196596f9ebc6aeedd9d606837f57e62558676c4ce4ada32521b932377,0,,0,,0,
51,decision_close_2020_3,2020-03-17,train,valid,True,ef45cebfda73fc2d09e729696e6c483d0be1f53b7edce4acde8910e070aecded,-1,yıl sonu enflasyon tahmini üzerindeki aşağı yönlü riskler artmıştır.,0,,-1,politika faizinde 100 baz puan indirim yapılmasına karar vermiştir.
52,decision_close_2020_4,2020-04-22,train,valid,True,5ccbbca0c5796e3e50054614c0c12953185de78e1bffdbb4340070e3217967b2,-1,yıl sonu enflasyon tahmini üzerindeki risklerin aşağı yönlü olduğu değerlendirilmiştir,0,,0,para politikasındaki temkinli duruşun sürdürülmesi gerekmektedir
53,decision_close_2020_5,2020-05-21,train,valid,True,644aed0b91a56305d032150a61113acc37879076e678f769c297a01db8c9fbcf,0,,-1,Mart ayı ortalarından itibaren zayıflamaya başlamıştır.,-1,"politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 8,75’ten yüzde 8,25’e indirilmesine karar vermiştir."
54,decision_close_2020_6,2020-06-25,train,valid,True,a9f72ad8c91e8b28eba1df9c2c55bada08caad72b69cf4c63e3f7e2cef06cec9,1,"Toplam talep koşullarının sınırlayıcı etkisine karşın, salgına bağlı birim maliyet artışlarının yansımalarıyla çekirdek enflasyon göstergelerinin eğilimlerinde bir miktar yükseliş gözlenmektedir.",-1,"İktisadi faaliyetteki yavaşlama Nisan ayında belirginleşirken, kademeli normalleşme adımlarıyla birlikte Mayıs ayından itibaren toparlanmanın başladığı görülmektedir.",0,"Kurul, enflasyondaki düşüş sürecinin devamlılığının, ülke risk priminin gerilemesi, uzun vadeli faizlerin aşağı gelmesi ve ekonomideki toparlanmanın güç kazanması açısından büyük önem taşıdığını değerlendirmektedir."
55,decision_close_2020_7,2020-07-23,train,valid,True,5f639913a04662c952cf61ac04f79e80c8b7c64763420fb7ab365826e2ddd86c,1,"Toplam talep koşullarının sınırlayıcı etkisine karşın, salgına bağlı birim maliyet artışlarının yansımalarıyla çekirdek enflasyon göstergelerinin eğilimlerinde yükseliş gözlenmektedir.",0,,0,"Kurul, enflasyondaki düşüş sürecinin devamlılığının, ülke risk priminin gerilemesi, uzun vadeli faizlerin aşağı gelmesi ve ekonomideki toparlanmanın güç kazanması açısından büyük önem taşıdığını değerlendirmektedir."
56,decision_close_2020_8,2020-08-20,train,valid,True,51f38152a9d227c847cf933e6fa9e42b6287ff4b1a4b4e868ae2c17839920050,0,,0,,0,
57,decision_close_2020_9,2020-09-24,train,valid,True,0e2db241f9e2e0cdaa11991541543b2debe5ff9bb7b936dac0971173ba6c9871,1,Enflasyon beklentilerinin kontrol altına alınması ve enflasyon görünümüne yönelik risklerin sınırlanması amacıyla Ağustos ayından itibaren atılan sıkılaştırma adımlarının güçlendirilmesi gerektiği değerlendirilmiştir.,0,,0,"Bu çerçevede, parasal duruş ana eğilime dair göstergeler dikkate alınarak enflasyondaki düşüşün sürekliliğini sağlayacak şekilde belirlenecektir."
58,decision_close_2020_10,2020-10-22,train,valid,True,0e1dd2399ccb93772a9c7f5b79b53ef2e24a5d74ce079e97b192bbf8399985ed,1,Güçlü kredi ivmesiyle ekonomide sağlanan hızlı toparlanma ve finansal piyasalarda yaşanan gelişmeler neticesinde enflasyon öngörülenden daha yüksek bir seyir izlemiştir.,0,,0,"Kurul, politika faizinin sabit tutulmasıyla birlikte, likidite yönetimindeki esnekliğin arttırılmasına ve enflasyon görünümünde belirgin bir iyileşme sağlanana kadar likidite tedbirlerinin sürdürülmesine karar vermiştir."
59,decision_close_2020_11,2020-11-19,train,valid,True,80e888b1fbbccfe2c11f88109e6dafc2d8e6b2c1feb07b997f30392a789dbf74,-1,"Türk lirasındaki değer kaybının gecikmeli etkileri, uluslararası gıda fiyatlarındaki yükseliş ve enflasyon beklentilerindeki bozulma enflasyon görünümünü olumsuz etkilemektedir.",0,,1,"Kurul, enflasyon görünümüne dair risklerin bertaraf edilmesi, enflasyon beklentilerinin kontrol altına alınması ve dezenflasyon sürecinin en kısa sürede yeniden tesisi için, net ve güçlü bir parasal sıkılaştırma yapılmasına karar vermiştir."
60,decision_close_2020_12,2020-12-24,train,invalid_output,True,2d4f01c6a6245b954a38cfc6c8f60315a7075cf14ea90640ebfd74a3c8819ba5,1,"enflasyon görünümüne dair risklerin bertaraf edilmesi, enflasyon beklentilerinin kontrol altına alınması ve dezenflasyon sürecinin en kısa sürede yeniden tesisi için, 2021 yılsonu tahmin hedefini göz önünde bulundurarak, güçlü bir parasal sıkılaştırma yapılmasına karar vermiştir.",0,,-1,"parasal duruşun sıkılığı, enflasyonu etkileyen tüm unsurlar dikkate alınarak, enflasyonda kalıcı düşüşe ve fiyat istikrarına işaret eden güçlü göstergeler oluşana kadar kararlılıkla sürdürülecektir."
61,decision_close_2021_1,2021-01-21,train,invalid_output,True,ff45b03cfca86a83c5ade29c0cdd6d444f711de6b722d1fa04a776dd68d2780e,0,,-1,"İç talep koşulları, döviz kuru başta olmak üzere birikimli maliyet etkileri, uluslararası gıda ve diğer emtia fiyatlarındaki yükseliş ve enflasyon beklentilerindeki yüksek seviyeler, fiyatlama davranışları ve enflasyon görünümünü olumsuz etkilemeye devam etmektedir.",0,"Kurul, 2021 yılsonu tahmin hedefini dikkate alarak, enflasyonda kalıcı düşüşe ve fiyat istikrarına işaret eden güçlü göstergeler oluşana kadar sıkı para politikası duruşunun kararlılıkla uzun bir müddet sürdürülmesine karar vermiştir."
62,decision_close_2021_2,2021-02-18,train,invalid_output,True,78382af26f326c8be9e07db98005cc41a3ec5a2397712c5c79a05375788acc2b,0,,-1,"İç talep koşulları, döviz kuru başta olmak üzere birikimli maliyet etkileri, uluslararası gıda ve diğer emtia fiyatlarındaki yükseliş ve enflasyon beklentilerindeki yüksek seviyeler, fiyatlama davranışları ve enflasyon görünümünü olumsuz etkilemeye devam etmektedir.",0,Gerekmesi durumunda ilave parasal sıkılaşma yapılacaktır.
63,decision_close_2021_3,2021-03-18,train,invalid_output,True,55bc10746686722a8e6f678f6c1b83912fd458ec1f71f0d8cea9e8dc2d25a275,1,"Yükselen küresel enflasyon beklentileri, gelişmiş ülke para politikalarına ilişkin belirsizliklere ve küresel finansal piyasalarda dalgalanmaya yol açmaktadır.",-1,"İç talep koşulları, döviz kuru başta olmak üzere birikimli maliyet etkileri, uluslararası gıda ve diğer emtia fiyatlarındaki yükseliş ve enflasyon beklentilerindeki yüksek seviyeler, fiyatlama davranışları ve enflasyon görünümünü olumsuz etkilemeye devam etmektedir.",1,"Kurul, söz konusu gelişmelerin enflasyon beklentileri, fiyatlama davranışları ve orta vadeli enflasyon görünümü üzerinde oluşturduğu yukarı yönlü riskleri dikkate alarak, önden yüklemeli ve güçlü bir ilave parasal sıkılaştırma yapılmasına karar vermiştir."
64,decision_close_2021_4,2021-04-15,train,valid,True,26621b91d85d40a130e596081d0b4af6529d325d725f111d6f5550c2254b27ce,0,,0,,0,
65,decision_close_2021_5,2021-05-06,train,valid,True,20c88c9bf6074760d3ff5bd34b1f5ff6370c8760dccafa69640f5ff9f19adec2,0,,0,,0,
66,decision_close_2021_6,2021-06-17,train,valid,True,8b208c0799a6d2e8e2eb125365e733b706e2ebce58a523abfd9b951e193ae8c2,0,,0,,0,
67,decision_close_2021_7,2021-07-14,train,valid,True,3246ce1291574d546198ceb3e1229fd404069c0555d12182154dfe232fab9399,0,,0,,0,
68,decision_close_2021_8,2021-08-12,train,valid,True,84afc576dd82900044e582751be14bb61155e7286d8caa936867bc6da064cdfa,1,Yükselen küresel enflasyon ve enflasyon beklentilerinin uluslararası finansal piyasalar üzerindeki etkileri önemini korumaktadır.,0,,0,"Bu doğrultuda Kurul, politika faizinin sabit tutulmasına karar vermiştir."
69,decision_close_2021_9,2021-09-23,train,valid,True,8829b8c0141cb18e9b4e75a829b515dc62a3f568f051ac4cd331808056008c1a,0,,0,,-1,"Para Politikası Kurulu (Kurul), politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 19’dan yüzde 18’e indirilmesine karar vermiştir."
70,decision_close_2021_10,2021-10-21,train,valid,True,1d21fa5ff9045253eb460c914a4ee34af3ba4f16da6321450c34ac9cca2a5035,0,,0,,-1,"Bu çerçevede, gelişmiş ülke merkez bankaları destekleyici parasal duruşlarını sürdürmekte, varlık alım programlarına devam etmektedir."
71,decision_close_2021_11,2021-11-18,train,valid,True,cd686d97ec6c9d46f2025a5ba375110944bab57376c7d15d53cd31d7a943ba24,0,,0,,0,
72,decision_close_2021_12,2021-12-16,train,invalid_output,True,e021476f53244d213495108dff4d7b1ee219b7474e854092cd324dd22c0a3f6e,0,,0,,-1,"Kurul, politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 15’ten yüzde 14’e indirilmesine karar vermiştir."
73,decision_close_2022_1,2022-01-20,train,valid,True,ce3860e244b31958d436bb2385619b3dbbcacbcf6955f45a643c1146b5423dc7,0,,0,,0,
74,decision_close_2022_2,2022-02-17,train,valid,True,ccf32aadd5af9064d21fc9102781130755e5d7094285bc051ee5ca759d26208e,0,,0,,0,
75,decision_close_2022_3,2022-03-17,train,valid,True,3f2e29e68d7eac684f983b716b3fe876c23559144363b39d4a629e7786a70bc4,0,,0,,0,
76,decision_close_2022_4,2022-04-14,train,valid,True,88d2cc9705df42a1cfcefa77e3011ce79b48db299178bc09cdc1afc1f2b0161f,0,,0,,0,
77,decision_close_2022_5,2022-05-26,train,valid,True,22450fae61eedada1562c782c3eaf8ec7da670d5c646187eee0be2f011008f55,0,,0,,0,
78,decision_close_2022_6,2022-06-23,train,invalid_output,True,9678f85eb18c61cff779d8ed92eba7e1aca114d98145a1fd6c3cb28a57b7740d,0,,-1,dünya'da iktisadi faaliyetin zayıflamasına sebep olmuştur,0,politika faizi olan bir hafta vadeli repo ihale faiz oranının yüzde 14 düzeyinde sabit tutulmasına karar vermiştir
79,decision_close_2022_7,2022-07-21,train,invalid_output,True,2bea1d3074da555cd265eaa87efa59da4ecd15323195bf3e6204ff94cb93fed9,1,"Enflasyonda gözlenen yükselişte; jeopolitik gelişmelerin yol açtığı enerji maliyeti artışları, ekonomik temellerden uzak fiyatlama oluşumlarının etkileri, küresel enerji, gıda ve tarımsal emtia fiyatlarındaki artışların oluşturduğu güçlü negatif arz şokları etkili olmaya devam etmektedir.",0,,0,"Kurul, politika faizinin sabit tutulmasına karar vermiştir."
80,decision_close_2022_8,2022-08-18,validation,valid,True,7d57788f916463ff9854c92324ae9c02b9580c4a01e8df459316acb3b7024dbc,0,,-1,uluslararası ölçekte üretici ve tüketici fiyatlarının artış eğilimi sürmektedir,-1,politika faizinin 100 baz puan düşürülmesine karar vermiş
81,decision_close_2022_9,2022-09-22,validation,invalid_output,True,dbb1e267e8966a0cfbf47670dc62954aa0372257a4742855c957520c8d1dfeb6,-1,"Enflasyonda gözlenen yükselişte; jeopolitik gelişmelerin yol açtığı enerji maliyeti artışlarının gecikmeli ve dolaylı etkileri, ekonomik temellerden uzak fiyatlama oluşumlarının etkileri, küresel enerji, gıda ve tarımsal emtia fiyatlarındaki artışların oluşturduğu güçlü negatif arz şokları etkili olmaya devam etmektedir.",0,,-1,"Kurul, politika faizinin 100 baz puan düşürülmesine karar vermiş, mevcut görünüm altında güncellenen politika faiz düzeyinin yeterli olduğunu değerlendirmiştir."
82,decision_close_2022_10,2022-10-20,validation,valid,True,de29f5bf790f5459fff719d7955a8edfc99ba01b043ad1bfd8713055c41cfe4f,0,,-1,2022’nin ilk yarısında güçlü bir büyüme gerçekleşmiştir. Yılın ikinci yarısına dair öncü göstergeler ise zayıflayan dış talebin etkisiyle büyümedeki yavaşlamanın sürdüğüne işaret etmektedir.,-1,"Kurul, politika faizinin 150 baz puan düşürülmesine karar vermiştir. Kurul, takip eden toplantıda da benzer bir adım atıldıktan sonra faiz indirim döngüsünün sona erdirilmesini gündeme almıştır."
